0 -44.0118
1 -44.0424
2 -44.0749
3 -44.1104
4 -44.1407
5 -44.1712
6 -44.205
7 -44.2419
8 -44.2716
9 -44.3009
10 -44.3359
11 -44.3466
12 -44.3562
13 -44.3666
14 -44.3763
15 -44.3829
16 -44.3911
17 -44.3991
18 -44.4066
19 -44.4143
20 -44.4234
21 -44.4299
22 -44.4378
23 -44.4455
24 -44.4521
25 -44.4602
26 -44.4674
27 -44.4742
28 -44.4827
29 -44.4887
30 -44.4959
31 -44.4959
32 -44.5036
33 -44.5097
34 -44.5182
35 -44.5244
36 -44.5337
37 -44.5394
38 -44.5429
39 -44.5429
40 -44.5475
41 -44.555
42 -44.5592
43 -44.5643
44 -44.5704
45 -44.5737
46 -44.5786
47 -44.5808
48 -44.5808
49 -44.5839
50 -44.5859
0 -44.0118
1 -44.0424
2 -44.0749
3 -44.1104
4 -44.1407
5 -44.1712
6 -44.205
7 -44.2419
8 -44.2716
9 -44.3009
10 -44.3359
11 -44.3466
12 -44.3562
13 -44.3666
14 -44.3763
15 -44.3829
16 -44.3911
17 -44.3991
18 -44.4066
19 -44.4143
20 -44.4234
21 -44.4299
22 -44.4378
23 -44.4455
24 -44.4521
25 -44.4602
26 -44.4674
27 -44.4742
28 -44.4827
29 -44.4887
30 -44.4959
31 -44.4959
32 -44.5036
33 -44.5097
34 -44.5182
35 -44.5244
36 -44.5337
37 -44.5394
38 -44.5429
39 -44.5429
40 -44.5475
41 -44.555
42 -44.5592
43 -44.5643
44 -44.5704
45 -44.5737
46 -44.5786
47 -44.5808
48 -44.5808
49 -44.5839
50 -44.5859
