(0.240257,-8.04912e-16)
(-18.5224,4.66294e-15)
(-18.0728,2.64233e-14)
(-15.3696,2.32948e-15)
(-10.5969,3.8144e-15)
(-3.44643,3.31797e-15)
(4.75706,-1.51416e-15)
(12.5493,-7.97973e-15)
(17.3994,-2.75405e-14)
(-18.5224,4.81015e-15)
(-23.0326,1.62376e-14)
(-21.7168,2.86884e-14)
(-18.0448,9.58012e-15)
(-10.1783,8.07339e-15)
(0.152115,-7.00563e-15)
(7.77339,-3.9595e-15)
(10.2969,-1.35239e-14)
(1.22825,-1.50915e-14)
(-18.0728,2.2765e-14)
(-21.7168,2.69501e-14)
(-21.9824,3.88132e-14)
(-17.4259,1.65498e-14)
(-5.1189,7.47468e-15)
(5.09186,-2.10576e-14)
(7.78269,-9.34036e-15)
(3.37108,-1.07102e-14)
(-8.10663,8.55157e-15)
(-15.3696,1.11222e-15)
(-18.0448,6.97846e-15)
(-17.4259,1.80966e-14)
(-8.22106,-4.10583e-15)
(4.18461,-2.91745e-15)
(8.02889,-2.0402e-14)
(5.62589,-6.245e-16)
(-0.990992,-3.57205e-15)
(-9.39322,3.86283e-15)
(-10.5969,4.04082e-15)
(-10.1783,6.11861e-15)
(-5.1189,2.37823e-15)
(4.18461,-4.76127e-15)
(8.5918,-1.00836e-14)
(7.16556,-1.83422e-14)
(2.93207,-1.2712e-16)
(-2.88395,3.00334e-15)
(-8.0717,1.48818e-14)
(-3.44643,2.93202e-15)
(0.152115,-6.96664e-15)
(5.09186,-2.33091e-14)
(8.02889,-2.17169e-14)
(7.16556,-1.86513e-14)
(4.20582,-1.10768e-14)
(0.338636,3.78155e-15)
(-3.20956,8.27524e-15)
(-4.72147,1.53588e-14)
(4.75706,-1.38977e-15)
(7.77339,-1.26081e-15)
(7.78269,-7.60503e-15)
(5.62589,-2.28023e-16)
(2.93207,-2.24907e-15)
(0.338636,2.38406e-15)
(-1.55925,7.63794e-16)
(-1.68168,1.13043e-15)
(0.732483,3.11943e-15)
(12.5493,-9.27581e-15)
(10.2969,-1.58479e-14)
(3.37108,-1.06135e-14)
(-0.990992,-2.67197e-15)
(-2.88395,2.10099e-15)
(-3.20956,1.08513e-14)
(-1.68168,2.59056e-15)
(2.23377,3.54924e-15)
(8.03802,-1.00504e-14)
(17.3994,-2.63762e-14)
(1.22825,-1.37396e-14)
(-8.10663,1.07245e-14)
(-9.39322,6.37535e-15)
(-8.0717,1.31418e-14)
(-4.72147,1.83947e-14)
(0.732483,3.77093e-15)
(8.03802,-7.94503e-15)
(15.7817,-3.90527e-14)
(-18.5224,5.34939e-15)
(-23.0326,1.20568e-14)
(-21.7168,2.90953e-14)
(-18.0448,5.97289e-15)
(-10.1783,6.99341e-15)
(0.152115,-5.24835e-15)
(7.77339,-1.8551e-15)
(10.2969,-1.15223e-14)
(1.22825,-1.42892e-14)
(-23.0326,1.24112e-14)
(-26.2977,2.20643e-14)
(-27.2525,3.91117e-14)
(-23.3155,2.18005e-14)
(-7.46451,1.3793e-14)
(5.72436,-1.79257e-14)
(8.90148,-5.17674e-15)
(3.53439,-1.21004e-14)
(-11.436,1.43317e-15)
(-21.7168,2.65908e-14)
(-27.2525,3.86393e-14)
(-33.2266,6.72116e-14)
(-20.6711,3.29056e-14)
(5.58714,-6.18213e-15)
(10.7448,-4.15445e-14)
(6.65853,-8.7184e-15)
(-2.50765,1.13534e-16)
(-13.9124,2.0264e-14)
(-18.0448,6.19348e-15)
(-23.3155,1.57136e-14)
(-20.6711,3.07075e-14)
(6.68389,-7.92812e-17)
(15.1632,-1.34261e-14)
(10.0206,-2.8053e-14)
(3.14693,5.76052e-16)
(-5.12246,1.4833e-15)
(-12.7035,1.00878e-14)
(-10.1783,5.86353e-15)
(-7.46451,9.70996e-15)
(5.58714,-7.78138e-15)
(15.1632,-1.30344e-14)
(11.8329,-1.77737e-14)
(6.00903,-1.58087e-14)
(0.130861,1.14381e-15)
(-5.41326,4.61766e-15)
(-8.98229,2.14458e-14)
(0.152115,-5.79986e-15)
(5.72436,-1.98978e-14)
(10.7448,-4.3881e-14)
(10.0206,-3.00737e-14)
(6.00903,-1.44105e-14)
(1.8417,1.26082e-15)
(-1.71251,7.94546e-15)
(-3.62262,1.10233e-14)
(-2.9712,1.33048e-14)
(7.77339,-1.96178e-15)
(8.90148,-3.92336e-15)
(6.65853,-7.02216e-15)
(3.14693,-5.90838e-16)
(0.130861,6.58491e-16)
(-1.71251,7.4549e-15)
(-1.88291,6.72259e-17)
(0.127277,2.19952e-15)
(3.96705,-1.64348e-15)
(10.2969,-1.40874e-14)
(3.53439,-1.65524e-14)
(-2.50765,-1.79123e-15)
(-5.12246,-1.12663e-15)
(-5.41326,5.63657e-15)
(-3.62262,1.4926e-14)
(0.127277,4.8059e-15)
(5.30393,-7.1562e-16)
(10.1295,-2.13827e-14)
(1.22825,-1.43838e-14)
(-11.436,2.87897e-15)
(-13.9124,2.31157e-14)
(-12.7035,1.14011e-14)
(-8.98229,1.90384e-14)
(-2.9712,1.45012e-14)
(3.96705,-1.40237e-15)
(10.1295,-1.82303e-14)
(12.1412,-4.37421e-14)
(-18.0728,2.12682e-14)
(-21.7168,2.51357e-14)
(-21.9824,4.09043e-14)
(-17.4259,1.80267e-14)
(-5.1189,5.53624e-15)
(5.09186,-2.11044e-14)
(7.78269,-8.14012e-15)
(3.37108,-9.40542e-15)
(-8.10663,8.13438e-15)
(-21.7168,2.68159e-14)
(-27.2525,3.99978e-14)
(-33.2266,6.92031e-14)
(-20.6711,3.20775e-14)
(5.58714,-4.47064e-15)
(10.7448,-4.37446e-14)
(6.65853,-7.26036e-15)
(-2.50765,-6.81008e-16)
(-13.9124,2.28328e-14)
(-21.9824,3.73218e-14)
(-33.2266,7.43695e-14)
(-41.6443,1.19483e-13)
(11.7281,-1.03607e-14)
(20.8564,-4.7572e-14)
(11.8591,-5.84465e-14)
(3.35706,-4.04458e-15)
(-6.12473,8.11252e-15)
(-14.867,2.65347e-14)
(-17.4259,1.70295e-14)
(-20.6711,3.47856e-14)
(11.7281,-1.3277e-14)
(31.8563,-2.81184e-14)
(18.2039,-2.85694e-14)
(7.78778,-1.6871e-14)
(0.00783948,1.02553e-15)
(-7.07636,3.8247e-15)
(-12.4878,2.99197e-14)
(-5.1189,5.6713e-15)
(5.58714,-9.83636e-15)
(20.8564,-4.83491e-14)
(18.2039,-3.01683e-14)
(9.68448,-1.63254e-14)
(3.19439,2.86319e-15)
(-1.95219,8.54977e-15)
(-5.49014,1.51036e-14)
(-6.74329,2.66611e-14)
(5.09186,-2.05988e-14)
(10.7448,-4.27257e-14)
(11.8591,-5.84482e-14)
(7.78778,-1.74836e-14)
(3.19439,1.15065e-15)
(-0.221287,1.51413e-14)
(-2.08926,1.20167e-14)
(-1.85009,9.95664e-15)
(0.543305,6.80114e-16)
(7.78269,-4.09093e-15)
(6.65853,-7.41273e-15)
(3.35706,-2.63678e-15)
(0.00783948,4.32638e-16)
(-1.95219,3.48831e-15)
(-2.08926,9.46962e-15)
(-0.412507,2.3966e-15)
(2.65629,1.01995e-15)
