1 -7.457701043862
2 -7.570459412945
3 -7.578228033053
4 -7.585691782161
5 -7.593517238120
6 -7.603412680229
7 -7.614233268082
8 -7.619234702173
9 -7.623613892601
10 -7.625483249973
11 -7.627733436346
12 -7.631057721362
13 -7.632316635345
14 -7.633923791188
15 -7.635342850193
16 -7.636077772145
17 -7.636133249615
18 -7.637332983368
19 -7.637928202713
20 -7.638821724161
21 -7.639338808349
22 -7.640052841419
23 -7.640466482993
24 -7.640892307961
25 -7.641610495539
26 -7.642273574321
27 -7.642302659388
28 -7.642335067982
29 -7.642882352824
30 -7.642899608524
31 -7.643470711565
32 -7.643931988533
33 -7.644420540712
34 -7.644516230145
35 -7.644979208480
36 -7.644992472930
37 -7.645088930748
38 -7.645204159485
39 -7.645234643280
40 -7.645251396067
41 -7.645525274659
42 -7.645543558937
43 -7.645580096995
44 -7.645601388707
45 -7.645613315717
46 -7.645629447099
47 -7.645648258870
48 -7.646146747233
49 -7.646151170524
50 -7.646156420738
