0  -7.562112445463
1  -7.616776791240
2  -7.660704629128
3  -7.671800457504
4  -7.683482218316
5  -7.694444272482
6  -7.705147649648
7  -7.716610823518
8  -7.728180454173
9  -7.734604733712
10  -7.738625383771
11  -7.743250690836
12  -7.748244502847
13  -7.752266496720
14  -7.756615421914
15  -7.758405496819
16  -7.760356206000
17  -7.762108876422
18  -7.763597206476
19  -7.765346583991
20  -7.767394287776
21  -7.769033105450
22  -7.771011717423
23  -7.772778534539
24  -7.774603051236
25  -7.775671957616
26  -7.777703344704
27  -7.778946568627
28  -7.780025417210
29  -7.781987670371
30  -7.783731200226
31  -7.785464023922
32  -7.786076610992
33  -7.786794495827
34  -7.787432625617
35  -7.788232293776
36  -7.788873454461
37  -7.788882816196
38  -7.788907560506
39  -7.789551122128
40  -7.790254427916
41  -7.790258032898
42  -7.790680538389
43  -7.791209258652
44  -7.791687705963
45  -7.791691698020
46  -7.792189240521
47  -7.792665226776
48  -7.792670813848
49  -7.793166185018
50  -7.793192850355
51  -7.793608246376
52  -7.793618576825
53  -7.794022743696
54  -7.794051229175
55  -7.794483139979
56  -7.794916369986
57  -7.795460143331
58  -7.796156211007
59  -7.796181477257
60  -7.796215036990
61  -7.796737155815
62  -7.796756491086
63  -7.796767800426
64  -7.796792877685
65  -7.796819262445
66  -7.796844850349
67  -7.796860282929
68  -7.796869249883
69  -7.796885050567
70  -7.796900234694
71  -7.796913915107
72  -7.796935794397
73  -7.796955363834
74  -7.796969205835
75  -7.796978837769
76  -7.796988215923
77  -7.797018033252
78  -7.797148916357
79  -7.797178430215
80  -7.797192119075
81  -7.797212106544
82  -7.797399242989
83  -7.797567620380
84  -7.797756437699
85  -7.798273297502
86  -7.798295756599
87  -7.798313121628
88  -7.798329462711
89  -7.798344169719
90  -7.798738963757
91  -7.798747725218
92  -7.798760402365
93  -7.798772030969
94  -7.798937955455
95  -7.799100075902
96  -7.799104195697
97  -7.799246963074
98  -7.799261032151
99  -7.799281856533
100  -7.799295937050
