# ndet  Eloc    Eerror    Var       Verror
1   -10.434909  0.000804  0.485458  0.001296
5   -10.498933  0.000678  0.355033  0.001544
20  -10.542175  0.000587  0.277315  0.001504
50  -10.545013  0.000578  0.300769  0.002542
